City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,burutu,5.3509,5.5076,28.16,73,54,5.28,NG,1696177455
1,hermanus,-34.4187,19.2345,17.31,65,0,6.15,ZA,1696177455
2,bikenibeu village,1.3673,173.1241,27.98,83,40,0.51,KI,1696177455
3,island harbour,50.724,-1.2758,20.52,89,99,2.24,GB,1696177343
4,turkmenbasy,40.0222,52.9552,21.43,24,0,2.06,TM,1696177455
5,yei,4.095,30.6779,21.37,91,89,2.72,SS,1696177456
6,whitehorse,60.7161,-135.0538,4.43,89,100,9.26,CA,1696177456
7,adamstown,-25.066,-130.1015,20.71,81,49,10.94,PN,1696177386
8,sisimiut,66.9395,-53.6735,2.36,63,99,1.94,GL,1696177456
9,grytviken,-54.2811,-36.5092,5.13,94,73,4.95,GS,1696177456
10,margaret river,-33.95,115.0667,12.35,73,95,11.25,AU,1696177456
11,bulungu,-4.55,18.6,30.05,55,90,2.13,CD,1696177457
12,avarua,-21.2078,-159.775,25.03,94,100,2.06,CK,1696177457
13,georgetown,5.4112,100.3354,28.97,86,20,2.68,MY,1696177336
14,fale old settlement,-9.3852,-171.2468,27.54,78,25,2.76,TK,1696177457
15,knyaze-volkonskoye,48.4642,135.4567,10.0,90,100,3.58,RU,1696177457
16,new norfolk,-42.7826,147.0587,7.06,92,6,1.03,AU,1696177458
17,blackmans bay,-43.0167,147.3167,6.4,86,5,2.48,AU,1696177458
18,sibolga,1.7427,98.7792,25.42,91,98,1.24,ID,1696177458
19,margate,51.3813,1.3862,23.26,76,100,1.79,GB,1696177458
20,ilulissat,69.2167,-51.1,-0.99,69,4,2.06,GL,1696177458
21,albany,42.6001,-73.9662,22.73,70,0,0.89,US,1696177384
22,santana,-0.0583,-51.1817,35.1,49,20,4.12,BR,1696177459
23,al kharijah,25.4514,30.5464,33.31,27,44,7.08,EG,1696177459
24,nar'yan-mar,67.6713,53.087,10.62,98,100,4.02,RU,1696177459
25,punta arenas,-53.15,-70.9167,5.06,60,40,13.89,CL,1696177355
26,suntar,62.1444,117.6319,7.79,76,100,1.86,RU,1696177460
27,edinburgh of the seven seas,-37.0676,-12.3116,9.69,60,96,12.22,SH,1696177460
28,san patricio,28.017,-97.5169,31.76,65,21,5.64,US,1696177460
29,namibe,-15.1961,12.1522,20.49,75,4,3.71,AO,1696177460
30,balabac,7.9868,117.0645,27.47,83,100,10.17,PH,1696177460
31,las heras,-46.5419,-68.9359,12.47,28,100,9.84,AR,1696177234
32,yellowknife,62.456,-114.3525,8.01,92,75,7.2,CA,1696177461
33,waitangi,-43.9535,-176.5597,11.57,89,51,2.68,NZ,1696177461
34,iqaluit,63.7506,-68.5145,3.85,80,75,1.54,CA,1696177461
35,xiva,41.3783,60.3639,15.99,31,51,3.6,UZ,1696177462
36,macheng,31.1783,115.0319,22.14,73,100,0.68,CN,1696177462
37,sambava,-14.2667,50.1667,23.45,86,30,2.17,MG,1696177462
38,stanley,54.868,-1.6985,18.76,72,20,3.09,GB,1696177462
39,invercargill,-46.4,168.35,15.57,65,83,7.15,NZ,1696177462
40,kapit,2.0167,112.9333,22.64,98,100,0.17,MY,1696177463
41,muragacha,23.5333,88.4,26.3,91,71,3.44,IN,1696177463
42,saint-hyacinthe,45.6168,-72.9491,24.34,68,16,2.13,CA,1696177463
43,olonkinbyen,70.9221,-8.7187,0.28,74,100,4.5,SJ,1696177463
44,tralee,52.2704,-9.7026,16.14,72,20,5.14,IE,1696177464
45,axim,4.8699,-2.2405,26.65,82,43,5.04,GH,1696177464
46,port-aux-francais,-49.35,70.2167,6.19,97,100,18.43,TF,1696177464
47,utrik,11.2278,169.8474,27.42,77,100,3.27,MH,1696177464
48,benjamin constant,-4.3831,-70.0311,32.07,74,40,2.57,BR,1696177285
49,talnakh,69.4865,88.3972,-10.44,90,9,2.19,RU,1696177465
50,newman,37.3138,-121.0208,16.8,55,65,0.45,US,1696177465
51,thompson,55.7435,-97.8558,5.09,93,100,2.57,CA,1696177257
52,luderitz,-26.6481,15.1594,18.86,63,0,6.89,NA,1696177465
53,isafjordur,66.0755,-23.124,8.02,76,75,6.17,IS,1696177465
54,bredasdorp,-34.5322,20.0403,14.16,72,0,7.19,ZA,1696177466
55,puerto armuelles,8.2833,-82.8667,30.99,85,59,2.24,PA,1696177466
56,port mathurin,-19.6833,63.4167,23.13,81,86,8.73,MU,1696177466
57,pandan,14.0453,124.1694,27.3,87,100,3.61,PH,1696177169
58,port alfred,-33.5906,26.891,16.77,80,59,5.18,ZA,1696177466
59,nuku'alofa,-21.1333,-175.2,20.19,64,40,6.17,TO,1696177467
60,tura,25.5198,90.2201,23.82,98,77,1.77,IN,1696177467
61,camacupa,-12.0167,17.4833,19.05,74,100,6.05,AO,1696177467
62,i-n-salah,27.1935,2.4607,37.72,14,0,7.59,DZ,1696177467
63,badger,64.8,-147.5333,2.98,75,100,2.57,US,1696177467
64,nova sintra,14.8667,-24.7167,24.52,76,55,5.72,CV,1696177467
65,moapa valley,36.5805,-114.4703,19.06,42,0,1.47,US,1696177468
66,saipan,15.1355,145.701,27.39,94,20,3.09,MP,1696177468
67,kapa'a,22.0752,-159.319,25.18,86,75,5.66,US,1696177468
